class,bbox,confidence,severity,root_cause
Missing_hole,"[541, 177, 15, 14]",0.796554684638977,9,Drilling issue
Missing_hole,"[733, 136, 16, 13]",0.6952438354492188,9,Drilling issue
Missing_hole,"[528, 84, 13, 14]",0.6849824786186218,9,Drilling issue
Missing_hole,"[55, 128, 16, 16]",0.6708887219429016,9,Drilling issue
Missing_hole,"[348, 347, 15, 15]",0.6668119430541992,9,Drilling issue
Spurious_copper,"[985, 264, 27, 28]",0.6625363826751709,5,Etching problem
Missing_hole,"[662, 226, 12, 13]",0.6545892953872681,9,Drilling issue
Missing_hole,"[509, 659, 14, 13]",0.6526167988777161,9,Drilling issue
Missing_hole,"[739, 304, 15, 14]",0.5934478044509888,9,Drilling issue
Missing_hole,"[498, 435, 15, 14]",0.5905214548110962,9,Drilling issue
Missing_hole,"[379, 560, 14, 15]",0.5590556263923645,9,Drilling issue
Missing_hole,"[811, 514, 13, 13]",0.5043227672576904,9,Drilling issue
Missing_hole,"[911, 768, 13, 13]",0.4961715042591095,9,Drilling issue
Missing_hole,"[839, 70, 17, 16]",0.48296958208084106,9,Drilling issue
Missing_hole,"[869, 696, 14, 15]",0.4683186411857605,9,Drilling issue
Short,"[447, 584, 14, 12]",0.44771119952201843,9,Soldering/printing issue
Missing_hole,"[418, 119, 13, 13]",0.3800475001335144,9,Drilling issue
Missing_hole,"[635, 448, 13, 15]",0.37483689188957214,9,Drilling issue
Missing_hole,"[462, 613, 12, 14]",0.37430340051651,9,Drilling issue
Missing_hole,"[603, 84, 12, 15]",0.36528435349464417,9,Drilling issue
Missing_hole,"[406, 184, 14, 13]",0.3352944254875183,9,Drilling issue
Missing_hole,"[888, 796, 12, 13]",0.3299374282360077,9,Drilling issue
Missing_hole,"[994, 768, 14, 15]",0.3290873169898987,9,Drilling issue
Missing_hole,"[416, 492, 18, 18]",0.31214994192123413,9,Drilling issue
Missing_hole,"[979, 695, 13, 15]",0.3077859878540039,9,Drilling issue
Missing_hole,"[1130, 61, 15, 16]",0.30119672417640686,9,Drilling issue
Spurious_copper,"[977, 263, 32, 29]",0.2988310754299164,5,Etching problem
Missing_hole,"[655, 477, 13, 14]",0.2655944228172302,9,Drilling issue
